"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9503","basic test","chrome","Mon Jul 28 10:10:50 IST 2025","passed","Mon Jul 28 10:11:00 IST 2025","","basic.spec.js","",""
"","4","test","firefox-lambdatest","Mon Jul 28 10:32:04 IST 2025","failed","Mon Jul 28 10:32:04 IST 2025","","logout.spec.js","",""
"","30032","Login and upload profile picture","chromium","Thu Jul 24 16:32:06 IST 2025","broken","Thu Jul 24 16:32:36 IST 2025","","Uploadprofilepicture.spec.js","",""
"","19812","test","chrome-lambdatest","Mon Jul 28 10:49:01 IST 2025","passed","Mon Jul 28 10:49:20 IST 2025","","Viewprofile.spec.js","",""
"","26402","test","webkit","Mon Jul 28 10:13:09 IST 2025","passed","Mon Jul 28 10:13:35 IST 2025","","test..spec.js","",""
"","10028","test","chrome-lambdatest","Mon Jul 28 10:47:11 IST 2025","passed","Mon Jul 28 10:47:21 IST 2025","","login.spec.js","",""
"","23385","login and open meeting link","chrome-lambdatest","Mon Jul 28 10:46:18 IST 2025","failed","Mon Jul 28 10:46:42 IST 2025","","Deleteaccount.spec.js","",""
"","26538","delete profile picture","chromium","Thu Jul 24 17:42:42 IST 2025","failed","Thu Jul 24 17:43:09 IST 2025","","Deleteprofilepicture.spec.js","",""
"","20577","test","chromium","Thu Jul 24 17:39:18 IST 2025","failed","Thu Jul 24 17:39:38 IST 2025","","Deleteprofilepicture.spec.js","",""
"","24544","test","webkit","Mon Jul 28 10:12:59 IST 2025","passed","Mon Jul 28 10:13:24 IST 2025","","signup..spec.js","",""
"","26480","delete profile picture no waits","chrome","Mon Jul 28 10:10:50 IST 2025","passed","Mon Jul 28 10:11:17 IST 2025","","Deleteprofilepicture.spec.js","",""
"","26064","test","webkit","Mon Jul 28 10:12:42 IST 2025","passed","Mon Jul 28 10:13:09 IST 2025","","Meetinglink.spec.js","",""
"","4","test","firefox-lambdatest","Mon Jul 28 10:32:04 IST 2025","failed","Mon Jul 28 10:32:04 IST 2025","","Profileflow.spec.js","",""
"","30053","test","webkit","Mon Jul 28 10:12:50 IST 2025","broken","Mon Jul 28 10:13:20 IST 2025","","searchjobapply..spec.js","",""
"","10346","test","chrome-lambdatest","Mon Jul 28 10:47:34 IST 2025","passed","Mon Jul 28 10:47:44 IST 2025","","logout.spec.js","",""
"","15410","test","chrome-lambdatest","Mon Jul 28 10:48:36 IST 2025","passed","Mon Jul 28 10:48:52 IST 2025","","test..spec.js","",""
"","30033","test","chromium","Tue Jul 22 17:58:06 IST 2025","broken","Tue Jul 22 17:58:36 IST 2025","","Profileflow.spec.js","",""
"","18834","test","chrome-lambdatest","Mon Jul 28 10:47:44 IST 2025","passed","Mon Jul 28 10:48:03 IST 2025","","Meetinglink.spec.js","",""
"","17848","delete profile picture no waits","firefox","Mon Jul 28 10:13:56 IST 2025","passed","Mon Jul 28 10:14:14 IST 2025","","Deleteprofilepicture.spec.js","",""
"","30060","Login and upload profile picture","firefox","Mon Jul 28 10:14:50 IST 2025","broken","Mon Jul 28 10:15:20 IST 2025","","Uploadprofilepicture.spec.js","",""
"","2","basic test","firefox-lambdatest","Mon Jul 28 10:31:53 IST 2025","failed","Mon Jul 28 10:31:53 IST 2025","","basic.spec.js","",""
